TestCase ID,Test Case Title,Module Name,Test Designed By,Test Designed Date,Pre-Condition,Test Data,Test Steps,Excepted Results,Actual Results,Status(Pass/Fail),Severity,Priority,Environment,Comments/Notes
TC_Cart_05,Add to cart without login,Cart,Bhargavi Prasanna,30-Aug-25,User not logged in,Ray Ban Aviator Sunglasses,"Open product > Click ""Add to cart""",Product added to cart successfully (login not mandatory),Product added,Pass,Medium,Medium,QA,None
TC_Ship_06,Open Estimate Shipping modal,Cart → Estimate Shipping,Bhargavi Prasanna,30-Aug-25,User has product in cart,N/A,Click Estimate Shipping,"Modal should open with Country, State, Zip fields",Modal opens correctly,Pass,Low,Medium,QA,None
TC_Ship_07,Validate dropdown contains all countries,Cart → Estimate Shipping,Bhargavi Prasanna,30-Aug-25,User in cart page,N/A,Open Country dropdown,All countries should be listed,All Countries shown,Pass,Low,Medium,QA,None
TC_Ship_08,Calculate shipping with valid data (US),Cart > Estimate Shipping,Bhargavi Prasanna,30-Aug-25,User in cart page,Country: US,Select US > State: NY > Zip: 10001 > Apply,Valid shipping methods + Price + Delivery time shown,"Shows Ground, Next Day, 2nd Day but Price = $0, Delivery = ""-""",Fail,High,High,QA,None
TC_Ship_09,Calculate shipping with valid data (India),Cart > Estimate Shipping,Bhargavi Prasanna,30-Aug-25,User in cart page,Country:India,Select India > State: Telangana > Zip: 500072 > Apply,Shipping methods with prices,Shows shipping methods but $0.00 price,Fail,High,High,QA,None
TC_Ship_10,Leave fields blank,Cart > Estimate Shipping,Bhargavi Prasanna,30-Aug-25,User in cart page,Blank,Open modal > Do not select country/state > Click Apply,Should show mandatory validation,Shown a message that mandatory field,Pass,Medium,High,QA,None
TC_Coupon_01,Apply empty coupon code,Cart > Coupon,Bhargavi Prasanna,30-Aug-25,User in cart page,Coupon: blank,"Leave coupon field blank > Click ""Apply Coupon""",System should show validation,"""The coupon code cannot be found""",Fail,Medium,Medium,QA,None
TC_Coupon_02,Apply random invalid coupon,Cart>Coupon,Bhargavi Prasanna,30-Aug-25,User in cart page,Coupon: XYZ123,"Enter ""XYZ123"" > Apply Coupon","System shows ""Coupon not valid""","""The coupon code cannot be found""",Pass,Medium,Medium,QA,None
TC_Coupon_03,Apply lowercase coupon,Cart>Coupon,Bhargavi Prasanna,30-Aug-25,User in cart page,Coupon:discount10,"Enter ""discount10"" > Apply Coupon",System should show invalid coupon,"""The coupon code cannot be found""",Pass,Low,Medium,QA,None
TC_Coupon_04,Apply expired coupon,Cart>Coupon,Bhargavi Prasanna,30-Aug-25,User in cart page,Coupon:OLD2023,"Enter ""OLD2023"" > Apply Coupon","System shows ""Coupon expired""","""The coupon code cannot be found""",Fail,Medium,Medium,QA,None
TC_CheckOut_01,Valid shipping address,CheckOut,Bhargavi Prasanna,30-Aug-25,User has product in cart,Name: Munny; Email:munnyreddy05@gmail.com;City: Vijayawada; Address1:Chevuturu;Country: India; Phone: 9876543210,"1. Go to checkout 2. Fill all required fields (Name, Address, City, Country, Phone) 3. Continue",User proceeds to Shipping Method page,User redirected to Shipping Method page,Pass,High,High,QA,None
TC_CheckOut_02,Invalid phone number,CheckOut,Bhargavi Prasanna,30-Aug-25,User has product in cart,Name: Mark; City: Paris; Phone: 1111111111,1. Go to checkout 2. Enter phone as 1111111111 3. Continue,Error displayed → “Invalid phone number”,Error message Not Shown,Fail,High,High,QA,None
TC_CheckOut_03, Method selected,CheckOut,Bhargavi Prasanna,30-Aug-25,User is on Payment Method page,Must Select one Field,Payment Method> Selected one Field,Move to Payment Information page,Successufully Moved,Pass,High,High,QA,None
TC_CheckOut_04,Payment Information must be valid details,CheckOut,Bhargavi Prasanna,30-Aug-25,User is on Payment Information Page,Enter all Fields with invalid details,Payment Information>Enter all details>Continue,Error message displayed,Error message displayed,Fail,High,High,QA,None
TC_TopPage_01,Click on currency dropdown,Top Page – Currency Display,Bhargavi Prasanna,30-Aug-25,Website homepage is open; no login required,N/A, Open homepage> Locate currency dropdown at top > Click dropdown,Only USD and EUR are visible and selectable; no other currencies are listed,To be recorded,Pass,Medium,Medium,QA,None
TC_TopPage_02,Click on currency dropdown,Top Page – Currency Display,Bhargavi Prasanna,30-Aug-25,Website homepage is open; no login required,"US Doller, Euro",Open homepage > Select USD from currency dropdown > Note prices > Select EUR from currency dropdown > Note prices,Prices should update correctly when switching between USD and EUR,To be recorded,Pass,Medium,Medium,QA,None
TC_NewsLetter_01,Enter valid email,NewsLetter,Bhargavi Prasanna,30-Aug-25,User is on home page,Email:munnyreddy05@gmail.com,Enter email>click on subscribe,Verification email sent and Thank you for intersted message,Successfully subscribed,Pass,Medium,Medium,QA,None
TC_NewsLetter_02,Enter invalid email,NewsLetter,Bhargavi Prasanna,30-Aug-25,User is on home page,Email: @gmail.com,Enter email>click on subscribe,Invalid email message displayed,Successfully displayed a message,Pass,Medium,Medium,QA,None
TC_NewsLetter_03,Enter black email,NewsLetter,Bhargavi Prasanna,30-Aug-25,User is on home page,Email: [blank],Enter email>click on subscribe,Invalid email message displayed,Successfully displayed a message,Pass,Medium,Medium,QA,None
